2025-03-17 23:56:00,680 - Episode 1: Reward=179.0999999999999, Explores=255, Exploits=237, Epsilon=0.1164
2025-03-17 23:56:03,381 - Episode 2: Reward=-85.55000000000008, Explores=22, Exploits=481, Epsilon=0.0100
2025-03-17 23:56:05,998 - Episode 3: Reward=437.74999999999994, Explores=8, Exploits=486, Epsilon=0.0100
2025-03-17 23:56:08,584 - Episode 4: Reward=536.6500000000003, Explores=4, Exploits=511, Epsilon=0.0100
2025-03-17 23:56:11,268 - Episode 5: Reward=534.1999999999998, Explores=0, Exploits=522, Epsilon=0.0100
2025-03-17 23:56:13,847 - Episode 6: Reward=534.4500000000003, Explores=5, Exploits=502, Epsilon=0.0100
2025-03-17 23:56:16,597 - Episode 7: Reward=525.8499999999999, Explores=10, Exploits=513, Epsilon=0.0100
2025-03-17 23:56:19,335 - Episode 8: Reward=540.95, Explores=5, Exploits=519, Epsilon=0.0100
2025-03-17 23:56:22,044 - Episode 9: Reward=508.55000000000035, Explores=7, Exploits=518, Epsilon=0.0100
2025-03-17 23:56:24,744 - Episode 10: Reward=533.3999999999999, Explores=3, Exploits=512, Epsilon=0.0100
2025-03-17 23:56:27,508 - Episode 11: Reward=596.2500000000005, Explores=13, Exploits=520, Epsilon=0.0100
2025-03-17 23:56:30,431 - Episode 12: Reward=606.1499999999996, Explores=7, Exploits=523, Epsilon=0.0100
2025-03-17 23:56:33,350 - Episode 13: Reward=561.8499999999998, Explores=2, Exploits=526, Epsilon=0.0100
2025-03-17 23:56:36,795 - Episode 14: Reward=594.7999999999993, Explores=4, Exploits=525, Epsilon=0.0100
2025-03-17 23:56:40,836 - Episode 15: Reward=578.7499999999998, Explores=4, Exploits=524, Epsilon=0.0100
2025-03-17 23:56:44,542 - Episode 16: Reward=403.75000000000017, Explores=5, Exploits=516, Epsilon=0.0100
2025-03-17 23:56:48,685 - Episode 17: Reward=559.9499999999996, Explores=4, Exploits=529, Epsilon=0.0100
2025-03-17 23:56:52,287 - Episode 18: Reward=79.09999999999965, Explores=7, Exploits=548, Epsilon=0.0100
2025-03-17 23:56:55,177 - Episode 19: Reward=579.7000000000007, Explores=4, Exploits=518, Epsilon=0.0100
2025-03-17 23:56:58,024 - Episode 20: Reward=576.3500000000003, Explores=3, Exploits=521, Epsilon=0.0100
2025-03-17 23:57:00,955 - Episode 21: Reward=556.5499999999996, Explores=7, Exploits=521, Epsilon=0.0100
2025-03-17 23:57:03,889 - Episode 22: Reward=591.4999999999999, Explores=9, Exploits=542, Epsilon=0.0100
2025-03-17 23:57:06,715 - Episode 23: Reward=592.6999999999997, Explores=7, Exploits=526, Epsilon=0.0100
2025-03-17 23:57:10,299 - Episode 24: Reward=601.2499999999998, Explores=2, Exploits=535, Epsilon=0.0100
2025-03-17 23:57:14,135 - Episode 25: Reward=582.1500000000002, Explores=5, Exploits=521, Epsilon=0.0100
2025-03-17 23:57:18,583 - Episode 26: Reward=-65.35000000000086, Explores=0, Exploits=528, Epsilon=0.0100
2025-03-17 23:57:23,185 - Episode 27: Reward=685.9500000000004, Explores=4, Exploits=542, Epsilon=0.0100
2025-03-17 23:57:26,246 - Episode 28: Reward=582.4499999999999, Explores=4, Exploits=520, Epsilon=0.0100
2025-03-17 23:57:29,071 - Episode 29: Reward=596.1500000000001, Explores=7, Exploits=520, Epsilon=0.0100
2025-03-17 23:57:31,936 - Episode 30: Reward=-998.6499999999986, Explores=5, Exploits=520, Epsilon=0.0100
2025-03-17 23:57:34,827 - Episode 31: Reward=590.0999999999996, Explores=7, Exploits=520, Epsilon=0.0100
2025-03-17 23:57:38,154 - Episode 32: Reward=606.0499999999997, Explores=6, Exploits=536, Epsilon=0.0100
2025-03-17 23:57:42,198 - Episode 33: Reward=514.7499999999997, Explores=4, Exploits=519, Epsilon=0.0100
2025-03-17 23:57:46,211 - Episode 34: Reward=578.7499999999993, Explores=7, Exploits=521, Epsilon=0.0100
2025-03-17 23:57:48,987 - Episode 35: Reward=578.1499999999996, Explores=5, Exploits=531, Epsilon=0.0100
2025-03-17 23:57:52,211 - Episode 36: Reward=594.1000000000003, Explores=5, Exploits=541, Epsilon=0.0100
2025-03-17 23:57:55,842 - Episode 37: Reward=562.1500000000003, Explores=4, Exploits=524, Epsilon=0.0100
2025-03-17 23:57:59,468 - Episode 38: Reward=537.5500000000008, Explores=9, Exploits=536, Epsilon=0.0100
2025-03-17 23:58:03,426 - Episode 39: Reward=548.5500000000003, Explores=5, Exploits=528, Epsilon=0.0100
2025-03-17 23:58:08,553 - Episode 40: Reward=554.1499999999995, Explores=9, Exploits=512, Epsilon=0.0100
